1528743590.725200,1,1,205,28.870000
1528743590.820632,3,1,205,28.690000
1528743593.711756,2,1,205,29.000000
1528743593.851235,1,1,205,28.870000
1528743593.944683,3,1,205,28.690000
1528743596.837432,2,1,205,29.000000
1528743596.976368,1,1,205,28.810000
1528743597.081606,3,1,205,28.690000
1528743599.963504,2,1,205,29.000000
1528743600.101621,1,1,205,28.870000
1528743600.195836,3,1,205,28.690000
1528743603.088547,2,1,205,29.000000
1528743603.227240,1,1,205,28.870000
1528743603.321519,3,1,205,28.690000
1528743606.214268,2,1,205,29.000000
1528743606.353119,1,1,205,28.870000
1528743606.448043,3,1,205,28.690000
1528743609.340887,2,1,205,29.000000
1528743609.478574,1,1,205,28.810000
1528743609.572754,3,1,205,28.690000
1528743612.465725,2,1,205,29.000000
1528743612.604093,1,1,205,28.870000
1528743612.699774,3,1,205,28.690000
1528743615.591138,2,1,205,29.000000
1528743615.729845,1,1,205,28.870000
1528743615.823782,3,1,205,28.690000
1528743618.717701,2,1,205,29.000000
1528743618.855672,1,1,205,28.870000
1528743618.949834,3,1,205,28.690000
1528743621.841900,2,1,205,29.000000
1528743621.980796,1,1,205,28.810000
1528743622.076034,3,1,205,28.690000
1528743624.967644,2,1,205,29.000000
1528743625.106522,1,1,205,28.870000
1528743625.200385,3,1,205,28.690000
1528743628.093073,2,1,205,29.000000
1528743628.232085,1,1,205,28.810000
1528743628.325923,3,1,205,28.690000
1528743631.218528,2,1,205,29.000000
1528743631.357389,1,1,205,28.870000
1528743631.452043,3,1,205,28.690000
1528743634.345167,2,1,205,29.000000
1528743634.482897,1,1,205,28.870000
1528743634.576587,3,1,205,28.690000
1528743637.469180,2,1,205,29.000000
1528743637.608353,1,1,205,28.870000
1528743637.702118,3,1,205,28.690000
1528743640.595276,2,1,205,29.000000
1528743640.733758,1,1,205,28.870000
1528743640.827844,3,1,205,28.690000
1528743643.720137,2,1,205,29.000000
1528743643.859029,1,1,205,28.870000
1528743643.954501,3,1,205,28.690000
1528743646.846144,2,1,205,29.000000
1528743646.985239,1,1,205,28.810000
1528743647.079278,3,1,205,28.690000
1528743649.971331,2,1,205,29.000000
